"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","29 Dec 2023","14005.2","14059.05","13928.75","14041.30"
"NIFTY SMALLCAP 250","28 Dec 2023","13939.5","13968.85","13892.95","13956.55"
"NIFTY SMALLCAP 250","27 Dec 2023","13913.5","13939.75","13799.45","13874.40"
"NIFTY SMALLCAP 250","26 Dec 2023","13848.6","13857.5","13790.15","13833.00"
"NIFTY SMALLCAP 250","22 Dec 2023","13743.4","13830.65","13674.25","13792.00"
"NIFTY SMALLCAP 250","21 Dec 2023","13284.9","13673.5","13176.2","13652.50"
"NIFTY SMALLCAP 250","20 Dec 2023","13963.35","14003.15","13383.65","13425.25"
"NIFTY SMALLCAP 250","19 Dec 2023","13938.95","13960.85","13838.8","13888.95"
"NIFTY SMALLCAP 250","18 Dec 2023","13869.6","13919.6","13784.4","13877.85"
"NIFTY SMALLCAP 250","15 Dec 2023","13802.95","13852.95","13784.95","13820.45"
"NIFTY SMALLCAP 250","14 Dec 2023","13726.95","13775.15","13716.85","13722.75"
"NIFTY SMALLCAP 250","13 Dec 2023","13584.85","13626.3","13513.55","13616.70"
"NIFTY SMALLCAP 250","12 Dec 2023","13611.55","13636.5","13493.15","13529.60"
"NIFTY SMALLCAP 250","11 Dec 2023","13530.75","13575.3","13523","13546.35"
"NIFTY SMALLCAP 250","08 Dec 2023","13633.3","13653.3","13396.55","13470.80"
"NIFTY SMALLCAP 250","07 Dec 2023","13573","13605.5","13473.45","13586.20"
"NIFTY SMALLCAP 250","06 Dec 2023","13559.2","13567.15","13487.6","13545.40"
"NIFTY SMALLCAP 250","05 Dec 2023","13544.8","13594.4","13415.65","13509.05"
"NIFTY SMALLCAP 250","04 Dec 2023","13559.4","13569.2","13439.05","13489.05"
"NIFTY SMALLCAP 250","01 Dec 2023","13332.65","13381.2","13309.45","13326.60"
"NIFTY SMALLCAP 250","30 Nov 2023","13153.95","13274.3","13083.1","13252.00"
"NIFTY SMALLCAP 250","29 Nov 2023","13090.6","13133.6","13041.55","13112.10"
"NIFTY SMALLCAP 250","28 Nov 2023","13059.85","13080.5","13001.4","13013.90"
"NIFTY SMALLCAP 250","24 Nov 2023","13014.7","13055.85","12975.35","12984.95"
"NIFTY SMALLCAP 250","23 Nov 2023","12919.4","12997.45","12918.45","12962.40"
"NIFTY SMALLCAP 250","22 Nov 2023","13021.55","13033.25","12853.9","12896.20"
"NIFTY SMALLCAP 250","21 Nov 2023","13050.7","13079.55","12991.9","13006.55"
"NIFTY SMALLCAP 250","20 Nov 2023","13024.35","13051.25","12952.6","12981.50"
"NIFTY SMALLCAP 250","17 Nov 2023","12935.2","13023.7","12919.9","12976.90"
"NIFTY SMALLCAP 250","16 Nov 2023","12902.1","12974.05","12878.8","12933.85"
"NIFTY SMALLCAP 250","15 Nov 2023","12879.15","12894.85","12830.8","12878.00"
"NIFTY SMALLCAP 250","13 Nov 2023","12706.55","12753.75","12631.4","12736.75"
"NIFTY SMALLCAP 250","12 Nov 2023","12684.55","12728.2","12682.25","12705.50"
"NIFTY SMALLCAP 250","10 Nov 2023","12492.9","12558.4","12458.1","12547.05"
"NIFTY SMALLCAP 250","09 Nov 2023","12577.9","12581.2","12481.5","12494.35"
"NIFTY SMALLCAP 250","08 Nov 2023","12514.85","12573.35","12506.6","12530.65"
"NIFTY SMALLCAP 250","07 Nov 2023","12424.35","12463.3","12367.15","12456.05"
"NIFTY SMALLCAP 250","06 Nov 2023","12354.35","12396.6","12333.8","12384.35"
"NIFTY SMALLCAP 250","03 Nov 2023","12210.05","12273.45","12208.5","12253.60"
"NIFTY SMALLCAP 250","02 Nov 2023","12097","12142.6","12077.95","12130.30"
"NIFTY SMALLCAP 250","01 Nov 2023","12059","12100.55","11988.7","12000.50"
"NIFTY SMALLCAP 250","31 Oct 2023","12096.9","12129.9","12006.2","12023.75"
"NIFTY SMALLCAP 250","30 Oct 2023","12068.3","12079","11937.15","12033.85"
"NIFTY SMALLCAP 250","27 Oct 2023","11886.45","12051.55","11885.85","12024.90"
"NIFTY SMALLCAP 250","26 Oct 2023","11807.95","11825.9","11493.75","11797.15"
"NIFTY SMALLCAP 250","25 Oct 2023","12003.75","12080.3","11703.65","11853.70"
"NIFTY SMALLCAP 250","23 Oct 2023","12442.4","12456.1","11894.3","11930.40"
"NIFTY SMALLCAP 250","20 Oct 2023","12503","12544","12380.3","12400.30"
"NIFTY SMALLCAP 250","19 Oct 2023","12452.95","12520.65","12400.25","12500.60"
"NIFTY SMALLCAP 250","18 Oct 2023","12571","12590.45","12456.65","12482.35"
"NIFTY SMALLCAP 250","17 Oct 2023","12539.35","12563.2","12499.9","12530.40"
"NIFTY SMALLCAP 250","16 Oct 2023","12441","12483.25","12410.5","12446.75"
"NIFTY SMALLCAP 250","13 Oct 2023","12403.75","12469.7","12386.3","12407.45"
"NIFTY SMALLCAP 250","12 Oct 2023","12391.25","12438.50","12389.55","12425.20"
